"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths"
"year",1,-0.0327865967797298,-0.00121711370913575,-0.0890701233465043,-0.134533999106426,-0.107004703224248,0.15124556523775,0.0851686851127955,0.0348141355717213
"dur_mths",-0.0327865967797298,1,0.0442617568103445,0.656888735164815,0.604036970331042,0.629133003425068,0.0938827832546448,0.0927088064083413,0.82611232104002
"no_dirs_case_start",-0.00121711370913575,0.0442617568103445,1,0.0376443951384503,0.045005118379099,0.0790516961627626,0.324103154283592,0.205666045470278,0.00402804002900233
"dh_no",-0.0890701233465043,0.656888735164815,0.0376443951384503,1,0.41575869459738,0.484587548172348,-0.0213658461268802,0.00920404185970252,0.590257242784838
"time_to_med",-0.134533999106426,0.604036970331042,0.045005118379099,0.41575869459738,1,0.903618281476003,-0.0219819100633628,0.00273616871635918,0.295175796162469
"no_pl_affis",-0.107004703224248,0.629133003425068,0.0790516961627626,0.484587548172348,0.903618281476003,1,-0.0145226808072804,0.0193604242649591,0.331087337954073
"regdate_to_commencement_mths",0.15124556523775,0.0938827832546448,0.324103154283592,-0.0213658461268802,-0.0219819100633628,-0.0145226808072804,1,0.816775377952281,0.122729255278017
"LOG_regdate_to_commencement_mths",0.0851686851127955,0.0927088064083413,0.205666045470278,0.00920404185970252,0.00273616871635918,0.0193604242649591,0.816775377952281,1,0.153458317981028
"LOG_dur_mths",0.0348141355717213,0.82611232104002,0.00402804002900233,0.590257242784838,0.295175796162469,0.331087337954073,0.122729255278017,0.153458317981028,1

p-values
"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths"
"year",0,0.651658616173146,0.986632308301792,0.216814808982998,0.105452297638955,0.140653874459226,0.035281005955761,0.237704847008018,0.631658280033861
"dur_mths",0.651658616173146,0,0.545339619063491,4.37279806171284e-25,1.10297406739551e-15,3.18488009020339e-22,0.196418130679879,0.202097083135177,3.27005264627227e-49
"no_dirs_case_start",0.986632308301792,0.545339619063491,0,0.605139338782266,0.592217003941303,0.280872307850628,4.78815695892876e-06,0.00431344070571242,0.956131093023923
"dh_no",0.216814808982998,4.37279806171284e-25,0.605139338782266,0,1.80217162900916e-07,1.39721391271287e-12,0.768047884032409,0.898909772148372,2.06438560362838e-19
"time_to_med",0.105452297638955,1.10297406739551e-15,0.592217003941303,1.80217162900916e-07,0,3.82087646103827e-54,0.792275274323913,0.9738523141332,0.000328647577119633
"no_pl_affis",0.140653874459226,3.18488009020339e-22,0.280872307850628,1.39721391271287e-12,3.82087646103827e-54,0,0.842363778986419,0.790910198135624,3.26470866634824e-06
"regdate_to_commencement_mths",0.035281005955761,0.196418130679879,4.78815695892876e-06,0.768047884032409,0.792275274323913,0.842363778986419,0,9.68005942642687e-48,0.0907569485950998
"LOG_regdate_to_commencement_mths",0.237704847008018,0.202097083135177,0.00431344070571242,0.898909772148372,0.9738523141332,0.790910198135624,9.68005942642687e-48,0,0.0340495124937817
"LOG_dur_mths",0.631658280033861,3.27005264627227e-49,0.956131093023923,2.06438560362838e-19,0.000328647577119633,3.26470866634824e-06,0.0907569485950998,0.0340495124937817,0
