Pearson Correlations
"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths","LOG_time_to_med"
"year",1,-0.0327865967797298,-0.00121711370913575,-0.0890701233465043,-0.134533999106426,-0.107004703224248,0.15124556523775,0.0851686851127955,0.0348141355717213,-0.0321428570805812
"dur_mths",-0.0327865967797298,1,0.0442617568103445,0.656888735164815,0.604036970331042,0.629133003425068,0.0938827832546448,0.0927088064083413,0.82611232104002,0.368354388039638
"no_dirs_case_start",-0.00121711370913575,0.0442617568103445,1,0.0376443951384503,0.045005118379099,0.0790516961627626,0.324103154283592,0.205666045470278,0.00402804002900233,0.0419749404099451
"dh_no",-0.0890701233465043,0.656888735164815,0.0376443951384503,1,0.41575869459738,0.484587548172348,-0.0213658461268802,0.00920404185970252,0.590257242784838,0.361149397406095
"time_to_med",-0.134533999106426,0.604036970331042,0.045005118379099,0.41575869459738,1,0.903618281476003,-0.0219819100633628,0.00273616871635918,0.295175796162469,0.724629778116183
"no_pl_affis",-0.107004703224248,0.629133003425068,0.0790516961627626,0.484587548172348,0.903618281476003,1,-0.0145226808072804,0.0193604242649591,0.331087337954073,0.540489116108129
"regdate_to_commencement_mths",0.15124556523775,0.0938827832546448,0.324103154283592,-0.0213658461268802,-0.0219819100633628,-0.0145226808072804,1,0.816775377952281,0.122729255278017,0.0951972926279353
"LOG_regdate_to_commencement_mths",0.0851686851127955,0.0927088064083413,0.205666045470278,0.00920404185970252,0.00273616871635918,0.0193604242649591,0.816775377952281,1,0.153458317981028,0.0881137731130687
"LOG_dur_mths",0.0348141355717213,0.82611232104002,0.00402804002900233,0.590257242784838,0.295175796162469,0.331087337954073,0.122729255278017,0.153458317981028,1,0.307818539895047
"LOG_time_to_med",-0.0321428570805812,0.368354388039638,0.0419749404099451,0.361149397406095,0.724629778116183,0.540489116108129,0.0951972926279353,0.0881137731130687,0.307818539895047,1

p-values
"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths","LOG_time_to_med"
"year",0,0.651658616173146,0.986632308301792,0.216814808982998,0.105452297638955,0.140653874459226,0.035281005955761,0.237704847008018,0.631658280033861,0.700130141007131
"dur_mths",0.651658616173146,0,0.545339619063491,4.37279806171284e-25,1.10297406739551e-15,3.18488009020339e-22,0.196418130679879,0.202097083135177,3.27005264627227e-49,5.55925355223956e-06
"no_dirs_case_start",0.986632308301792,0.545339619063491,0,0.605139338782266,0.592217003941303,0.280872307850628,4.78815695892876e-06,0.00431344070571242,0.956131093023923,0.617406351794096
"dh_no",0.216814808982998,4.37279806171284e-25,0.605139338782266,0,1.80217162900916e-07,1.39721391271287e-12,0.768047884032409,0.898909772148372,2.06438560362838e-19,7.52150210263803e-06
"time_to_med",0.105452297638955,1.10297406739551e-15,0.592217003941303,1.80217162900916e-07,0,3.82087646103827e-54,0.792275274323913,0.9738523141332,0.000328647577119633,4.73547640976693e-25
"no_pl_affis",0.140653874459226,3.18488009020339e-22,0.280872307850628,1.39721391271287e-12,3.82087646103827e-54,0,0.842363778986419,0.790910198135624,3.26470866634824e-06,2.70384487979172e-12
"regdate_to_commencement_mths",0.035281005955761,0.196418130679879,4.78815695892876e-06,0.768047884032409,0.792275274323913,0.842363778986419,0,9.68005942642687e-48,0.0907569485950998,0.253045260503683
"LOG_regdate_to_commencement_mths",0.237704847008018,0.202097083135177,0.00431344070571242,0.898909772148372,0.9738523141332,0.790910198135624,9.68005942642687e-48,0,0.0340495124937817,0.290242478738301
"LOG_dur_mths",0.631658280033861,3.27005264627227e-49,0.956131093023923,2.06438560362838e-19,0.000328647577119633,3.26470866634824e-06,0.0907569485950998,0.0340495124937817,0,0.000174606557908648
"LOG_time_to_med",0.700130141007131,5.55925355223956e-06,0.617406351794096,7.52150210263803e-06,4.73547640976693e-25,2.70384487979172e-12,0.253045260503683,0.290242478738301,0.000174606557908648,0

Spearman Correlations
"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths","LOG_time_to_med"
"year",1,0.042377345154012,-0.057723259804724,-0.114619644388517,0.0601679320151811,-0.0254747613376001,0.0702664628678722,0.0702664628678722,0.0430413769271842,0.0605981116875368
"dur_mths",0.042377345154012,1,0.0568185197537206,0.575880156099947,0.326414171975241,0.356476887217897,0.161377373356137,0.161377373356137,0.999859638078222,0.216255096488232
"no_dirs_case_start",-0.057723259804724,0.0568185197537206,1,0.0940139925154528,0.0277536611750628,0.160401094869999,0.170489546016339,0.170489546016339,0.0558515932047073,0.0426823574221658
"dh_no",-0.114619644388517,0.575880156099947,0.0940139925154528,1,0.240585911334219,0.394895290805725,0.0808462075389858,0.0808462075389858,0.574919353395855,0.190230708829386
"time_to_med",0.0601679320151811,0.326414171975241,0.0277536611750628,0.240585911334219,1,0.0320343086008753,0.156418473023191,0.156418473023191,0.326425684896254,0.922185277385822
"no_pl_affis",-0.0254747613376001,0.356476887217897,0.160401094869999,0.394895290805725,0.0320343086008753,1,0.0153255405324529,0.0153255405324529,0.354965999022832,-0.00657138769179376
"regdate_to_commencement_mths",0.0702664628678722,0.161377373356137,0.170489546016339,0.0808462075389858,0.156418473023191,0.0153255405324529,1,1,0.162218712397064,0.135934127051633
"LOG_regdate_to_commencement_mths",0.0702664628678722,0.161377373356137,0.170489546016339,0.0808462075389858,0.156418473023191,0.0153255405324529,1,1,0.162218712397064,0.135934127051633
"LOG_dur_mths",0.0430413769271842,0.999859638078222,0.0558515932047073,0.574919353395855,0.326425684896254,0.354965999022832,0.162218712397064,0.162218712397064,1,0.216262723999713
"LOG_time_to_med",0.0605981116875368,0.216255096488232,0.0426823574221658,0.190230708829386,0.922185277385822,-0.00657138769179376,0.135934127051633,0.135934127051633,0.216262723999713,1

p-values
"","year","dur_mths","no_dirs_case_start","dh_no","time_to_med","no_pl_affis","regdate_to_commencement_mths","LOG_regdate_to_commencement_mths","LOG_dur_mths","LOG_time_to_med"
"year",0,0.559472243771884,0.42645215879792,0.111519806015342,0.470653132968647,0.726478358603661,0.330266249281274,0.330266249281274,0.553328978845434,0.467480761214451
"dur_mths",0.559472243771884,0,0.437411824239246,2.36228750007539e-18,6.53093498801544e-05,4.787906854951e-07,0.0257289704449959,0.0257289704449959,0,0.00923243964120542
"no_dirs_case_start",0.42645215879792,0.437411824239246,0,0.195790701765473,0.741245115562144,0.0278851341721375,0.0183719227629532,0.0183719227629532,0.445263774294816,0.611484246767332
"dh_no",0.111519806015342,2.36228750007539e-18,0.195790701765473,0,0.0034433091741133,1.71862257126571e-08,0.263701146333588,0.263701146333588,2.76843371605485e-18,0.0214566290939776
