id	case_no	Year	year1	pilot	commencement	status 	enddate	duration_mths	disposition	DH_no	OP_affi 	co_extract	affi_facts	value_est	med_ord_date	time_to_med	no_pl_affis	length_pl_affi	alleg_time	family_context	pers_rel_breakdown	former_partnership	joint_venture	deregdate	end2death_m	co_reg_date	b2dy	birth2death_m	Business_nature	postcode_pl	role_notes	pl_lawyers	ACN_co	asic_status	codeath	type_co	shares_no	members_no	dirs_no	regdate_to_commencement_mths	co_status	grounds_no	mthstomed	wkstomed	mthsdur	wksdur	regtocom_yrs	ANZSIC code	medorddt	medord	role_in_co	director(curr_past)	rel_a	rel_b	rel_c	rel_d	rel_e	rel_f	rel_g	rel_h	rel_i	rel_j	re_l	rel_s461	gender_pl
1	S CI 2009 09165	2009	2009-10	0	23/09/2009	0	15/11/2011	26	0	1	1	1	1	1	21/10/2009	1	1	8	9	0	1	0	0	10/11/2013	23	14/11/2001	12	143	security services (securtiy guard and crowd controller)	"south melbourne, 3205"		"Spigler and Schwarcz, Elsternwick 3185"	098742388	deregistered	1	private company	300	2	2	95	1	5	0.930232558	4	26	112	7.9	77120	21/10/2009	1	0		1			1	1							1	0
2	S CI 2009 09202	2009	2009-10	0	23/09/2009	0	5/03/2010	6	0	2	0	0	1	0	4/12/2009	3	0	22	25	1	1	1	0	30/09/2011	18	18/01/1994	17	212	1994-2007 trustee of unit trust carried out electrical and plumbing business. since 2007 trustee only	Doreen 3754	director	Macpherson + kelley Lawyers Dandenong 3175	063163280	deregistered	1	private company	.	2	2	184	1	6	2.392026578	10.28571429	5.415282392	23.28571429	15.73351648	62400	4/12/2009	1	1	1	1						1					1	0
3	S CI 2009 10768	2009	2009-10	0	18/12/2009	0	21/12/2010	12	0	3	1	1	1	0	3/02/2010	2	1	7	22	1	1	0	0			17/07/2006			Holiday resort	"South Townsville, QLD, 4810"	" also previously director, employee (managed and worked at resort)"	"Armstrong Lawyers, Melbourne, 3000"	129 769 913			Private Company	1200	2	2	41	0		1.561461794	6.714285714	12.22591362	52.57142857	3.434065934	44000	3/02/2010	1	1	1	1			1	1								0
4	S CI 2009 10857	2009	2009-10	0	22/12/2009	0	16/07/2010	7	0	2	1	0	1	0	4-Feb-10	2	1	4	70	0	.	0	0			15/03/1988			Veterinary practice and trustee	Unknown	50% owner and manager	Mills Oakley Lawyers Melbourne 3000	006 937 471	registered	0	private company	102	2	2	249	0	5	1.46179402	6.285714286	6.843853821	29.42857143	21.84615385	69700	4/02/2010	1	1											1			1
6	S CI 2010 00506	2010	2009-10	0	4/02/2010	0	21/10/2011	19	1	7	1	0	1	0	.	999	4	13	24	0	.	0	0	13/06/2018	79	6/02/2008	10	124	"Invest in small/medium business assets, make the better then sell for profit"	"South Yarra, 3141"	"Also employee, CEO (3/8/2009-1/9/2009), director until termination"	"PIVA Commercial Lawyers, Carlton 3053"	129 571 053	deregistered	1	Private Company	.	.	1	24	0	3	.	.	20.73089701	89.14285714	2.002747253	66400	.	0	0	1	1			1	1							1	0
7	S CI 2010 00965	2010	2009-10	0	23/02/2010	0	16/07/2010	5	0	2	1	1	1	0	.	999	1	6	62	1	1	1	0			14/09/1988			"Manufacturing, import and wholesale of musical equipment"	"Bellfield, 3081"	also director and employee	"Lawcorp Lawyers, Doncaster East, 3109"	006 989 920	registered	0	Private Company	300000	3	1	257	0		.	.	4.750830565	20.42857143	21.51648352	25990	.	0	0	1	1			1	1			1					0
8	S CI 2010 01061	2010	2009-10	0	1/03/2010	0	20/05/2014	102	0	18	1	0	1	1	26-Feb-14	96	76	256	8	0	1	0	0			22/03/1991			Trustee company for DRAPAC hodligns trust	Hawthorn 3122	Former director 28 sept 2005 - 30 nov 2009	Isakow lawyers Melbourne 3000	051 437 499	registered	0	private company	1000	5	.	59	0	4	48.43853821	208.2857143	51.19601329	220.1428571	19.00824176	62400	26/02/2014	1	0	1				1	1					1			0
9	S CI 2010 01533	2010	2009-10	0	24/03/2010	0	24/08/2010	5	0	2	1	1	1	1	.	999	2	21	84	0	.	0	1			12/02/2001			providing security devices and services to retail businesses in australia and OS	Clapham North London SW46PS IK	manafer and employee	"Donaldson Trumble Lawyers, Melbourne, 3000"	095880532	registered	0	private company	100	3	2	85	0	10	.	.	5.083056478	21.85714286	9.14010989	32340	.	0	0		1			1	1								0
10	S CI 2010 02088	2010	2009-10	0	20/04/2010	0	26/11/2010	7	0	6	1	0	1	0	28-May-10	1	1	22	53	1	1	0	0			1/10/1981			"earth moving and bulk haul, also owns several properties"	Benalla 3672	director	Gadens Lawyers melbourn 3000	005916192	registered	0	private company	50000	3	5	342	0	8	1.262458472	5.428571429	7.3089701	31.42857143	28.64835165	46100	28/05/2010	1	0	1	1			1	1								0
11	s ci 2010 03005	2010	2009-10	0	2/06/2010	0	10/09/2010	3	0	2	1	0	1	1	8-Jun-10	0	1	6	13	0	.	.	0			4/08/2006			Riskin Optical	Caulfield Sth 3162	manager	Hambros and Cahill Lawyers Melbourn 3000	121077334	registered	0	private company	1200	2	.	46	0	3	0.199335548	0.857142857	3.322259136	14.28571429	3.840659341	85320	8/06/2010	1	1				1						1	1			0
